,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0166700,2766,1839,3683,1978
Os01g0166800,1914,760,2170,760
Os01g0167100,513,439,676,652
Os01g0167400,264,625,367,1254
Os01g0167500,12418,10850,15178,16984
Os01g0167600,48,35,91,54
Os01g0167700,483,268,604,334
Os01g0167750,38,36,44,53
Os01g0167800,393,550,545,873
Os01g0167900,1734,909,1824,1283
Os01g0168000,0,0,0,2
Os01g0168100,10288,8009,20696,11034
Os01g0168200,1764,1998,1816,2546
Os01g0168300,1262,1345,1577,1870
Os01g0168350,0,0,1,4
Os01g0168400,65,71,73,127
Os01g0168450,2,2,1,1
Os01g0168500,1920,1835,2227,2830
Os01g0168600,2364,1456,2763,2167
Os01g0168800,978,497,1025,611
Os01g0168850,8,1,3,3
Os01g0169000,13,4,12,16
Os01g0169100,52,24,84,49
Os01g0169400,257,225,289,279
Os01g0169500,6810,8432,8295,13076
Os01g0169800,1625,1307,1971,1973
Os01g0169900,3108,3245,3852,5315
Os01g0170000,120,224,104,701
Os01g0170051,518,1301,933,4306
Os01g0170100,356,527,474,780
Os01g0170300,1219,1455,1269,2074
Os01g0170500,1774,905,1938,1411
Os01g0170600,3460,3307,3365,3977
Os01g0170700,47,31,44,48
Os01g0170800,230,300,302,390
Os01g0170900,113,59,112,133
Os01g0171000,3966,1973,4001,2910
Os01g0171100,16,27,16,29
Os01g0171200,10,14,18,12
Os01g0171800,1326,1466,2056,2279
Os01g0172000,2775,2492,3588,3667
Os01g0172100,2064,1165,2047,1817
Os01g0172200,3367,2770,3725,4018
Os01g0172300,1759,1739,2343,2699
Os01g0172400,25307,40449,36439,66302
Os01g0172600,337,77,375,108
Os01g0172701,15,8,12,11
Os01g0172800,489,735,1321,2473
Os01g0172900,6,5,8,9
Os01g0173000,422,594,596,871
Os01g0173100,3726,3030,3976,3851
Os01g0173600,1076,160,1650,469
Os01g0173900,9047,6799,11065,9098
Os01g0173950,1,1,0,0
Os01g0174000,448,358,534,663
Os01g0174100,220,250,286,450
Os01g0174200,0,0,4,4
Os01g0174300,2956,2319,3115,2752
Os01g0174400,15,0,3,10
Os01g0174500,3,2,5,3
Os01g0174600,0,0,0,0
Os01g0174700,518,228,563,417
Os01g0174900,660,843,792,1215
Os01g0175000,4946,3472,5498,4355
Os01g0175100,5268,4103,9780,10383
Os01g0175400,266,211,220,212
Os01g0175500,124,103,172,201
Os01g0175600,5,0,5,4
Os01g0175633,0,0,0,0
Os01g0175700,2,1,0,0
Os01g0175733,0,0,0,0
Os01g0175850,39,58,132,102
Os01g0176000,58,67,81,114
Os01g0176050,0,0,0,0
Os01g0176100,99,141,139,231
Os01g0176150,0,0,0,0
Os01g0176200,375,507,400,724
Os01g0176300,289,206,250,204
Os01g0176400,330,245,776,696
Os01g0176500,1545,818,2015,630
Os01g0176700,114,99,141,196
Os01g0176751,0,1,1,1
Os01g0176800,95,64,82,118
Os01g0176900,0,0,0,0
Os01g0177100,448,271,580,345
Os01g0177150,9,2,12,3
Os01g0177200,6186,5994,6743,8061
Os01g0177400,26,16,49,66
Os01g0177500,0,0,0,0
Os01g0177900,10102,6855,12657,8946
Os01g0178000,5137,5589,5777,8267
Os01g0178100,888,955,1231,1560
Os01g0178200,781,547,835,665
Os01g0178300,410,321,395,398
Os01g0178400,815,604,864,702
Os01g0178500,2210,3167,2474,4437
Os01g0178600,0,0,0,2
Os01g0178700,227,230,313,443
Os01g0178775,2,1,0,2
Os01g0178850,25,13,77,36
Os01g0178900,777,1101,931,1225
Os01g0179000,1114,1170,2193,3055
Os01g0179200,2326,1835,2534,2304
Os01g0179300,5438,5916,6065,7789
Os01g0179400,4582,4650,4829,6749
Os01g0179500,2649,2948,3301,4495
Os01g0179600,501,788,1089,2169
Os01g0179700,408,257,487,330
Os01g0179750,1,0,1,0
Os01g0179800,555,856,752,1556
Os01g0179901,4,8,12,17
Os01g0180000,401,425,526,1000
Os01g0180050,0,0,0,0
Os01g0180300,7663,3489,11839,4435
Os01g0180400,919,640,970,1091
Os01g0180500,0,0,0,1
Os01g0180600,522,433,631,442
Os01g0180700,379,217,394,257
Os01g0180800,1519,1503,1695,1816
Os01g0180850,0,1,0,0
Os01g0180900,0,2,0,0
Os01g0181000,1339,1306,1417,1835
Os01g0181033,5,3,7,1
Os01g0181166,4,2,5,6
Os01g0181300,297,136,342,171
Os01g0182100,139,143,157,239
Os01g0182200,2364,1673,3540,2781
Os01g0182300,167,79,253,216
Os01g0182400,579,1164,528,1869
Os01g0182500,569,758,823,1093
Os01g0182600,76631,128938,51085,147521
Os01g0182700,116,75,126,168
Os01g0182832,1079,1089,1104,1591
Os01g0182900,1762,2093,2383,3443
Os01g0183000,920,908,1106,1358
Os01g0183100,2139,1339,1860,1120
Os01g0183300,264,480,512,850
Os01g0183400,57,18,50,15
Os01g0183500,15,9,25,23
Os01g0183600,131,227,203,637
Os01g0183633,775,943,1019,1598
Os01g0183800,2865,3701,4818,6751
Os01g0183850,118,148,292,240
Os01g0183950,22,59,40,104
Os01g0184000,1167,793,1038,890
Os01g0184050,0,0,0,0
Os01g0184100,0,0,0,0
Os01g0184200,1,1,2,2
Os01g0184500,3622,2512,3943,2480
Os01g0184700,9,5,45,55
Os01g0184800,1216,1511,1548,2525
Os01g0184900,10926,14435,13206,21973
Os01g0185000,0,0,0,0
Os01g0185100,18,13,13,16
Os01g0185200,8932,8850,9813,11344
Os01g0185250,79,75,107,121
Os01g0185300,844,808,829,1064
Os01g0185350,34,75,50,144
Os01g0185400,2788,5845,3950,10057
Os01g0185500,703,982,761,930
Os01g0185900,765,1192,1053,2124
Os01g0186000,150,253,235,571
Os01g0186200,1116,2498,1664,3199
Os01g0186400,0,0,2,8
Os01g0186600,199,177,276,31
Os01g0186700,7045,6235,7484,9002
Os01g0186900,4133,4605,6319,3601
Os01g0186950,0,0,0,0
Os01g0187000,121,94,166,179
Os01g0187200,130,282,162,640
Os01g0187300,60,122,85,258
Os01g0187350,0,0,0,1
Os01g0187400,11811,10707,12873,16078
Os01g0187500,929,973,1229,1606
Os01g0187600,66,90,162,327
Os01g0187900,1400,1868,1148,2470
Os01g0188100,5017,6661,6581,10811
Os01g0188200,636,650,930,926
Os01g0188400,1337,2157,2001,3862
Os01g0188525,1,0,2,0
Os01g0188900,4387,3650,5979,4478
Os01g0189100,5,5,9,5
Os01g0189700,0,0,0,0
Os01g0189800,957,986,1061,1432
Os01g0190000,2874,2295,3999,3760
Os01g0190300,1238,2443,2540,4891
Os01g0190400,609,960,685,1479
Os01g0190500,207,121,229,128
Os01g0191000,117,113,188,180
Os01g0191100,22915,12699,20924,12415
Os01g0191150,0,0,0,0
Os01g0191200,7763,5512,9751,5190
