,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0196300,164,165,138,269
Os01g0196500,651,607,883,880
Os01g0196600,909,644,994,863
Os01g0196800,12,16,8,30
Os01g0197100,141,152,138,177
Os01g0197150,0,1,0,1
Os01g0197200,2277,2039,2484,2969
Os01g0197350,228,212,366,359
Os01g0197400,1463,1295,1836,1930
Os01g0197450,63,45,55,78
Os01g0197500,239,235,274,288
Os01g0197700,145,61,246,63
Os01g0197900,285,334,380,431
Os01g0198000,532,863,509,991
Os01g0198200,1867,2363,2536,3816
Os01g0198250,0,4,0,0
Os01g0198500,135,132,298,288
Os01g0198702,31,37,46,75
Os01g0198900,419,349,722,692
Os01g0199300,0,7,6,31
Os01g0199400,428,820,598,1262
Os01g0199550,22,50,29,94
Os01g0199700,12,7,18,29
Os01g0199900,2891,1896,2545,1880
Os01g0199950,1,0,1,0
Os01g0200000,1071,1366,1178,1914
Os01g0200150,0,0,1,0
Os01g0200200,20,22,26,22
Os01g0200300,14,43,16,47
Os01g0200350,250,484,328,707
Os01g0200400,1426,837,1729,904
Os01g0200500,775,630,861,833
Os01g0200600,2,4,6,5
Os01g0200700,211738,115663,197490,176217
Os01g0200950,1410,1034,1539,1506
Os01g0201000,675,518,742,738
Os01g0201100,504,565,671,1080
Os01g0201200,4191,2399,3887,3129
Os01g0201250,269,147,197,240
Os01g0201275,0,0,2,0
Os01g0201300,0,0,9,8
Os01g0201400,0,0,0,0
Os01g0201500,0,2,1,0
Os01g0201600,1749,771,3222,1775
Os01g0201700,973,1014,780,1040
Os01g0201750,1,0,0,0
Os01g0201800,677,673,914,1050
Os01g0201850,37,47,51,65
Os01g0201900,2375,2564,3129,4064
Os01g0202500,765,1772,892,1765
Os01g0202601,9,11,4,11
Os01g0202700,6,5,16,7
Os01g0202800,65,69,73,123
Os01g0203000,3946,3669,5389,5489
Os01g0203300,320,269,387,330
Os01g0203400,111,107,285,175
Os01g0203800,106,142,169,223
Os01g0203900,2,3,1,4
Os01g0204000,1060,542,1188,720
Os01g0204300,194,203,274,179
Os01g0205100,1636,1538,1790,1858
Os01g0205200,1308,351,1262,397
Os01g0205300,610,287,1182,381
Os01g0205401,0,0,0,0
Os01g0205500,588,312,468,289
Os01g0205550,2,0,1,0
Os01g0205600,90,160,159,322
Os01g0205700,1825,1524,2108,2264
Os01g0205800,2,0,0,0
Os01g0205900,523,199,940,270
Os01g0206200,382,352,372,388
Os01g0206300,5,27,22,54
Os01g0206600,208,189,241,305
Os01g0206650,3,4,8,8
Os01g0206700,13,30,31,83
Os01g0206800,19,18,39,20
Os01g0207001,0,0,0,0
Os01g0207200,319,185,363,248
Os01g0207300,14,24,27,20
Os01g0207400,992,973,1901,2036
Os01g0207500,1,1,1,3
Os01g0207600,0,0,0,0
Os01g0207700,0,0,0,2
Os01g0207900,57,32,88,86
Os01g0208000,142,155,162,219
Os01g0208400,430,383,960,903
Os01g0208600,11350,8404,13101,11042
Os01g0208700,6407,2301,9730,3817
Os01g0208800,2,1,7,4
Os01g0209000,3777,2799,3949,3902
Os01g0209150,0,0,1,0
Os01g0209200,212,199,256,248
Os01g0209300,0,0,0,0
Os01g0209400,3028,1691,3436,2305
Os01g0209500,3,2,7,11
Os01g0209566,0,0,0,0
Os01g0209700,88,78,87,135
Os01g0209750,18,3,7,8
Os01g0209800,124,48,126,46
Os01g0209901,0,0,0,0
Os01g0210200,0,0,2,0
Os01g0210300,261,163,391,171
Os01g0210400,19,16,50,36
Os01g0210500,1202,1419,1929,2091
Os01g0210550,4,2,3,19
Os01g0210600,6361,4325,6740,7175
Os01g0210700,17,9,20,26
Os01g0210750,40,29,53,50
Os01g0210800,572,438,568,556
Os01g0210900,88,24,111,39
Os01g0211000,14,3,27,17
Os01g0211200,17,4,31,19
Os01g0211400,0,0,0,0
Os01g0211600,701,596,1310,928
Os01g0211800,571,187,899,316
Os01g0212000,151,179,245,191
Os01g0212100,2472,2574,2881,3185
Os01g0212400,5245,5065,7086,6948
Os01g0212500,8,5,30,4
Os01g0212700,28,121,28,102
Os01g0212900,42,24,77,16
Os01g0213100,6,4,20,17
Os01g0213300,0,0,0,0
Os01g0213350,0,2,1,0
Os01g0213400,266,408,350,426
Os01g0213800,9,3,15,6
Os01g0214001,3,0,0,1
Os01g0214200,3719,4858,3317,6811
Os01g0214300,1176,1328,1450,1828
Os01g0214400,1737,1511,2460,2344
Os01g0214500,1025,6141,1234,10698
Os01g0214600,6318,4470,5233,4052
Os01g0214800,2252,2901,2228,3914
Os01g0214901,0,0,0,0
Os01g0215000,370,157,238,229
Os01g0215100,44,10,92,36
Os01g0215500,574,101,590,192
Os01g0215700,404,396,547,404
Os01g0215725,2,2,2,1
Os01g0215750,2,0,2,0
Os01g0216000,152,8,187,31
Os01g0216150,0,0,0,0
Os01g0216300,0,0,0,0
Os01g0216350,0,0,0,0
Os01g0216400,219,247,265,558
Os01g0216500,5,2,10,10
Os01g0216600,0,0,0,0
Os01g0216900,1,0,0,0
Os01g0216951,0,0,0,0
Os01g0217000,382,220,454,347
Os01g0217050,1,0,1,0
Os01g0217100,17,27,18,39
Os01g0217400,0,0,0,0
Os01g0217500,634,394,896,463
Os01g0217800,1252,1777,1748,2706
Os01g0218032,21525,16925,25125,22726
Os01g0218100,3250,3445,3713,4994
Os01g0218200,1,0,0,1
Os01g0218350,0,0,0,0
Os01g0218500,12,28,8,24
Os01g0218700,5166,5517,6983,8059
Os01g0218800,3014,1853,3594,2559
Os01g0218900,1282,1422,1671,2051
Os01g0219000,77,75,107,128
Os01g0219100,410,338,500,607
Os01g0219200,65,43,80,70
Os01g0219300,935,969,677,1762
Os01g0219500,0,0,0,0
Os01g0219600,0,0,0,0
Os01g0220100,80,33,56,74
Os01g0220150,0,0,0,0
Os01g0220200,1350,1386,2052,1729
Os01g0220300,1870,1033,1678,1120
Os01g0220400,707,1005,827,1416
Os01g0220500,88,216,87,299
Os01g0220700,42,18,27,12
Os01g0220801,0,0,0,0
Os01g0220900,459,545,593,714
Os01g0221000,295,298,810,1061
Os01g0221100,828,788,1684,1922
Os01g0221300,564,491,666,761
Os01g0221400,318,336,358,359
Os01g0221500,2384,2779,2744,4324
Os01g0221600,111,314,77,312
Os01g0221700,2648,1182,3590,1458
Os01g0221800,1213,492,1521,612
Os01g0221900,522,242,758,431
Os01g0222001,54,71,65,184
Os01g0222300,224,86,276,124
Os01g0222500,1388,709,1602,896
Os01g0222600,2791,3039,6123,9454
Os01g0222700,1674,1443,2618,2457
Os01g0222800,0,0,0,4
Os01g0222900,8,6,2,2
Os01g0223000,875,632,1127,1252
Os01g0223100,0,0,0,0
Os01g0223200,52,70,56,119
Os01g0223300,243,345,373,476
Os01g0223500,121,250,259,602
Os01g0223600,2504,1529,3003,2409
Os01g0223700,2295,2046,2065,2473
Os01g0223800,472,654,488,602
Os01g0223900,539,630,576,613
Os01g0224000,428,962,456,1437
Os01g0224100,372,335,404,364
Os01g0224166,20,7,35,13
Os01g0224200,131,40,151,54
Os01g0224300,302,207,359,223
Os01g0224400,437,939,630,1333
Os01g0224500,1617,1446,1812,1722
Os01g0224700,82,154,84,174
Os01g0225000,79,655,165,1905
Os01g0225100,3826,4062,5038,6662
Os01g0225200,1671,1634,1818,2165
Os01g0225300,1654,1330,1708,1869
Os01g0225400,650,405,865,495
Os01g0225500,5,14,11,40
Os01g0225600,0,2,0,3
Os01g0225550,2,9,4,2
Os01g0225700,0,1,0,0
Os01g0226200,411,219,782,372
Os01g0226250,344,106,433,180
Os01g0226300,6464,2539,6251,2866
Os01g0226400,3,8,1,38
Os01g0226450,0,0,0,0
Os01g0226500,1282,1813,1654,2924
Os01g0226600,55,39,92,45
Os01g0226666,24,357,83,454
Os01g0226700,5,116,27,110
Os01g0227100,11867,27205,13110,43532
Os01g0227200,859,1128,1002,1933
Os01g0227250,1,1,1,0
Os01g0227300,5925,5092,6143,7205
Os01g0227350,45,24,71,58
Os01g0227400,65,27,82,43
Os01g0227500,281,328,599,597
Os01g0227700,28,79,59,446
Os01g0227800,887,785,1480,1750
Os01g0228300,1478,1445,1811,1897
Os01g0228400,72,69,248,192
Os01g0228450,0,0,0,0
Os01g0228500,25,350,55,745
Os01g0228600,2536,2071,4402,4127
Os01g0228800,2635,2194,3605,3951
Os01g0228901,909,482,1188,606
Os01g0229000,0,0,0,0
Os01g0229100,4045,3422,5275,4554
Os01g0229200,4861,4408,6791,6941
Os01g0229250,0,0,0,0
Os01g0229300,745,642,901,1116
Os01g0229400,1255,744,1235,1069
Os01g0229500,326,385,556,715
Os01g0229600,142,171,171,315
Os01g0229700,10,9,25,47
Os01g0229800,29,9,22,18
Os01g0229900,649,967,964,1676
Os01g0230200,1027,668,1198,981
Os01g0230700,2,2,4,0
Os01g0230800,11,10,17,19
Os01g0231000,8567,5304,9677,7565
Os01g0231500,2991,3552,3563,4306
Os01g0231600,35,41,37,50
Os01g0231700,3621,2077,3197,1942
Os01g0231800,3260,2788,3569,3471
Os01g0231900,3681,3542,4384,4640
Os01g0232000,127,24,294,63
Os01g0231950,0,0,0,0
Os01g0232100,59,318,76,307
Os01g0232200,77,55,178,82
Os01g0232300,4035,3213,4330,3945
Os01g0232400,5546,5659,7373,8271
Os01g0232450,2,2,0,0
Os01g0232500,1767,2310,2471,3604
Os01g0232550,2,1,7,2
Os01g0232700,5586,5099,7495,6804
Os01g0232800,10536,9780,12627,12951
Os01g0233000,10245,17260,13067,24899
Os01g0233100,371,203,208,147
Os01g0233400,8,25,5,5
Os01g0233500,353,278,316,259
Os01g0233800,13,10,8,6
Os01g0233850,0,0,0,0
Os01g0233900,374,1002,459,1587
Os01g0234001,14,9,14,16
Os01g0234100,158,116,122,140
Os01g0234200,17,8,15,4
Os01g0234300,78,31,79,71
Os01g0234433,0,0,0,0
Os01g0234499,0,0,1,0
Os01g0234566,0,0,0,0
Os01g0234700,125,89,129,154
Os01g0234800,944,1217,1402,2234
Os01g0234850,6,2,0,6
Os01g0234900,2792,3674,4512,6144
Os01g0235100,904,496,1246,594
Os01g0235200,890,781,767,797
Os01g0235300,1109,2056,1841,3736
Os01g0235325,4,2,2,2
Os01g0235350,169,324,205,575
Os01g0235400,3650,2420,3309,2726
Os01g0235500,0,0,0,0
Os01g0235632,1,1,0,3
Os01g0235700,0,0,2,1
Os01g0235800,2794,2609,3279,3950
Os01g0235850,1,0,0,1
Os01g0235900,1,1,2,7
Os01g0236000,214,93,281,144
Os01g0236300,1805,1587,1874,2257
Os01g0236400,1128,575,948,781
Os01g0236700,5017,6483,6700,8008
Os01g0236800,1386,1471,1926,2271
Os01g0236900,20,11,31,37
Os01g0237000,227,143,566,447
Os01g0237100,1722,984,2114,1019
Os01g0237200,22,13,21,31
Os01g0237366,2,0,0,0
Os01g0237400,0,0,0,0
Os01g0237500,349,334,547,432
Os01g0237750,178,189,269,216
Os01g0238200,552,625,848,869
Os01g0238287,0,0,0,0
Os01g0238375,0,0,0,2
Os01g0238500,4528,5753,7163,13206
Os01g0238600,1627,1230,2028,1854
Os01g0238700,0,6,2,4
Os01g0238800,189,105,161,117
Os01g0238850,6,3,9,0
Os01g0238900,3692,4116,3977,5467
Os01g0239000,4415,4113,6189,7131
Os01g0239100,490,527,577,709
Os01g0239150,0,0,0,0
Os01g0239200,205,144,656,422
Os01g0239300,21,15,33,25
Os01g0239700,8716,8509,11251,15224
Os01g0240600,6,2,8,0
Os01g0240700,0,2,2,0
Os01g0240725,0,0,0,0
Os01g0241000,182,274,481,824
Os01g0241100,1035,749,1038,854
Os01g0241400,8,8,22,27
Os01g0242200,124,78,74,120
Os01g0242300,610,240,608,302
Os01g0242333,2,0,0,3
Os01g0242400,0,0,0,0
Os01g0242450,0,0,0,0
Os01g0242500,1030,832,1371,1076
Os01g0242600,7359,9436,8589,13166
Os01g0242800,0,1,0,1
Os01g0242900,1408,1096,1726,1833
Os01g0243000,362,416,501,567
Os01g0243100,1012,634,1349,668
Os01g0243200,1893,2804,2397,4309
Os01g0243300,16,34,34,55
Os01g0243400,242,147,258,340
Os01g0243450,0,0,0,0
Os01g0243600,27,32,51,23
Os01g0243700,1622,730,1543,803
Os01g0243800,17,30,52,42
Os01g0243901,0,0,0,0
Os01g0244000,0,0,0,0
Os01g0244150,0,0,0,0
Os01g0244400,0,0,0,0
Os01g0244966,0,0,0,0
Os01g0245000,0,0,0,0
Os01g0245532,0,0,0,0
Os01g0245600,0,0,0,0
Os01g0245700,0,0,0,0
Os01g0245901,0,0,0,0
Os01g0246100,4778,5250,6102,7880
Os01g0246200,0,2,0,1
Os01g0246400,33,136,35,96
Os01g0246500,699,959,842,1653
Os01g0246601,11,18,18,34
Os01g0246700,5045,7136,7190,9458
Os01g0247500,147,247,174,370
Os01g0247550,0,0,0,0
Os01g0247600,0,0,0,0
Os01g0247700,489,323,889,421
Os01g0247900,207,161,411,260
Os01g0248000,26,20,21,37
Os01g0248300,32,48,65,92
Os01g0248350,0,0,0,0
Os01g0248400,459,522,722,864
Os01g0248450,20,8,16,6
Os01g0248500,1888,1536,2002,1712
Os01g0248600,1606,1604,2325,2156
Os01g0248701,241,94,962,305
Os01g0248800,22,14,22,8
Os01g0248850,0,1,2,7
Os01g0248900,115,88,189,128
Os01g0249050,13,0,5,0
Os01g0249100,3,0,9,6
Os01g0249200,4741,1794,7068,3301
Os01g0249300,9666,7216,10888,9198
Os01g0249700,23,15,31,17
Os01g0249800,350,251,307,396
Os01g0249900,36,11,47,15
Os01g0250200,0,0,0,0
Os01g0250600,1794,1307,1702,1432
Os01g0250900,8096,5404,11485,7948
Os01g0251000,2714,2345,3466,3037
Os01g0251100,1661,1240,1385,1003
Os01g0251200,1616,1541,2005,2279
Os01g0251400,7461,1608,11796,3036
Os01g0252100,5589,4224,5485,5549
Os01g0252150,1,2,2,2
Os01g0252200,588,623,653,826
Os01g0252300,18,25,13,14
Os01g0252400,8,11,10,11
Os01g0252600,578,236,1484,413
Os01g0252900,620,558,800,844
Os01g0253000,0,0,0,2
Os01g0253050,1,0,2,2
Os01g0253100,5759,4800,6773,6889
Os01g0253200,0,0,0,0
Os01g0253300,19702,22080,25013,32682
Os01g0253400,45,31,108,85
Os01g0253500,58,100,88,173
Os01g0253600,1426,1217,1688,1461
Os01g0253800,42,89,44,130
Os01g0253900,1401,5955,2676,13534
Os01g0254000,3898,6116,5219,9056
Os01g0254100,23812,21987,27885,34858
Os01g0254200,4755,3768,4941,4737
Os01g0254300,72,32,86,68
Os01g0254350,0,0,0,0
Os01g0254400,10,3,9,7
Os01g0254800,227,175,336,273
Os01g0254850,171,140,377,228
Os01g0254900,6981,8576,8871,12404
Os01g0254950,7,10,9,14
Os01g0255000,2897,2435,3777,3436
Os01g0255100,29,19,31,11
Os01g0255700,55,53,72,84
Os01g0256300,36,30,48,52
Os01g0256400,2104,2016,2647,3039
Os01g0256500,11769,65669,34470,241973
Os01g0256600,1412,1425,1853,2217
Os01g0256800,832,598,991,837
Os01g0256900,2979,3007,3431,4507
Os01g0257100,1710,768,1962,1110
Os01g0257300,649,1248,1056,2465
Os01g0257400,2288,2586,2805,3951
Os01g0257900,164,124,196,192
Os01g0258000,0,0,0,0
Os01g0258100,2,0,1,5
Os01g0258600,1140,731,1279,1011
Os01g0258700,5907,5800,7256,9103
Os01g0259200,5829,6019,5936,8781
Os01g0259300,355,209,408,278
Os01g0259400,2086,855,2173,984
Os01g0259600,9026,6878,12697,9425
Os01g0259900,2500,1829,2432,1911
Os01g0259933,436,288,268,322
Os01g0259966,16,45,51,118
Os01g0260000,91,92,123,82
Os01g0260100,751,452,840,609
Os01g0260500,477,369,551,576
Os01g0260700,5974,4498,6563,6264
Os01g0260800,3765,3210,4411,4659
Os01g0260950,0,0,2,2
Os01g0261000,0,0,0,0
Os01g0261100,5722,5853,6840,8957
Os01g0261200,6747,10527,9866,12655
Os01g0261500,895,998,1079,1225
Os01g0261600,0,1,2,0
Os01g0261700,2,0,2,0
Os01g0262000,0,0,0,0
Os01g0262401,2,2,0,7
Os01g0262500,1489,550,1882,833
Os01g0262600,1496,1526,1931,1796
Os01g0262700,1349,1394,1557,1483
Os01g0263000,232,120,400,288
Os01g0263300,10722,9804,15338,16858
Os01g0263400,398,274,389,219
Os01g0263500,1447,1105,1697,1478
Os01g0263600,679,824,836,1269
Os01g0264000,54,91,117,146
Os01g0263900,0,0,0,0
Os01g0264100,4,9,9,6
Os01g0264125,0,0,1,1
Os01g0264400,782,335,1141,580
Os01g0264500,1740,1488,1988,1757
Os01g0264600,2,0,9,0
Os01g0264700,4359,6106,4441,8704
Os01g0264900,1891,1705,2122,2226
Os01g0265000,130,77,182,206
Os01g0265100,6080,1603,6603,1652
Os01g0265200,3827,2244,4142,2690
Os01g0265400,699,890,1218,1379
Os01g0265700,738,662,841,876
Os01g0265800,4999,4724,6464,7039
Os01g0265900,780,631,883,789
Os01g0266000,5853,4930,5723,5987
Os01g0266100,184,245,307,473
Os01g0266200,5,7,7,12
Os01g0266400,410,520,482,210
Os01g0266500,841,1250,1125,1623
Os01g0266600,3784,3679,5484,5092
Os01g0266800,1832,22817,3178,49272
Os01g0267050,0,0,0,0
Os01g0267100,4573,4958,5863,7331
Os01g0267200,9233,9255,10273,13455
Os01g0267300,243,165,444,310
Os01g0267400,1432,1538,1917,2111
Os01g0267600,536,555,620,825
Os01g0267800,97,87,97,151
Os01g0267900,11332,9976,14038,13256
Os01g0268000,6,14,1,17
Os01g0268100,246,263,279,320
Os01g0268201,0,1,2,0
Os01g0268300,6762,3225,6195,2689
Os01g0268600,567,903,803,1649
Os01g0268700,0,0,0,0
Os01g0268733,0,0,0,0
Os01g0268800,2548,3153,3374,4881
Os01g0268900,634,296,525,242
Os01g0269000,1636,5749,2482,10766
Os01g0269100,2167,2311,2751,3613
Os01g0269500,16,45,17,58
Os01g0269550,12,2,22,8
Os01g0269800,123,84,185,93
Os01g0269900,174,129,192,188
Os01g0269950,0,0,0,1
Os01g0270100,4855,7678,5857,11289
Os01g0270300,883,514,980,576
Os01g0270501,0,2,0,0
Os01g0270700,0,0,0,0
Os01g0271000,1360,1335,1340,1464
Os01g0271200,1587,1602,1639,1970
Os01g0271400,3069,1985,3570,2461
Os01g0271500,5588,4872,6174,5765
Os01g0271700,2121,1460,2200,1552
Os01g0272600,76,87,76,95
Os01g0272650,0,0,0,0
Os01g0272700,1,0,1,0
Os01g0272800,17,9,11,10
Os01g0272850,495,456,590,669
Os01g0272901,0,0,0,0
Os01g0273000,1907,1438,2564,2225
Os01g0273100,1136,594,1664,503
Os01g0273150,35,29,44,48
Os01g0273200,0,2,6,0
Os01g0273300,2333,2082,2793,3010
Os01g0273500,1578,1740,1973,2290
Os01g0273800,458,215,556,208
Os01g0273850,0,0,0,0
Os01g0273900,0,0,0,0
Os01g0274100,13,14,24,21
Os01g0274201,0,0,0,0
Os01g0274300,4,2,15,6
Os01g0274500,172,125,148,129
Os01g0274601,0,1,5,5
Os01g0274800,284,256,193,405
Os01g0274901,0,0,0,1
Os01g0275200,2,4,4,6
Os01g0275300,1276,1008,1545,1343
Os01g0275500,0,8,0,20
Os01g0275600,13596,13845,13227,18267
Os01g0275700,0,0,0,0
Os01g0275800,136,137,157,165
Os01g0275900,1298,972,1273,1197
Os01g0275950,421,281,409,374
Os01g0276000,2772,2082,2509,2301
Os01g0276033,0,1,1,1
Os01g0276066,59,43,40,44
Os01g0276100,10213,11423,11369,15426
Os01g0276200,2772,1633,1936,1254
Os01g0276300,0,25,0,145
Os01g0276400,885,883,1148,1187
Os01g0276500,1510,1529,1993,2056
Os01g0276600,310,367,476,699
Os01g0276650,0,0,0,0
Os01g0276700,4168,3481,4252,4096
Os01g0276800,9335,8452,11490,10970
Os01g0276900,162,122,221,203
Os01g0277100,4,5,4,13
Os01g0277500,692,582,1122,959
Os01g0277600,2350,2343,2880,3699
Os01g0277700,1973,1764,2609,2716
Os01g0277900,146,183,229,321
Os01g0278000,321,514,670,789
Os01g0278050,183,139,298,154
Os01g0278100,0,0,0,0
Os01g0278200,242,214,300,236
Os01g0278466,132,117,165,236
Os01g0278600,364,333,491,343
Os01g0278900,10237,5775,15428,6871
Os01g0278950,44,38,72,68
Os01g0278975,0,0,0,0
Os01g0279000,84,35,118,74
Os01g0279100,6497,3389,10643,5556
Os01g0279200,4274,4187,4507,5234
Os01g0279300,12563,10103,13463,13054
Os01g0279400,817,338,950,409
Os01g0279500,5,3,1,0
Os01g0279700,7087,7465,5909,8937
Os01g0279800,2893,2266,3417,3306
Os01g0279900,1756,1582,1878,2260
Os01g0280000,3454,3968,4375,5786
Os01g0280200,0,0,0,0
Os01g0280400,1718,1052,1177,679
Os01g0280500,93,128,129,120
Os01g0280600,0,0,0,0
Os01g0281000,3867,4419,6077,7580
Os01g0281050,0,0,0,0
Os01g0281100,18,39,11,39
Os01g0281200,45,20,59,13
Os01g0281250,0,0,0,0
Os01g0281301,14,8,24,15
Os01g0281400,14768,11623,17928,15148
Os01g0281600,808,358,1028,598
Os01g0282251,0,0,0,0
Os01g0282800,2959,823,3058,1161
Os01g0282866,2,0,1,0
Os01g0283000,561,336,678,443
Os01g0283100,8433,7467,10141,10411
Os01g0283300,4835,8761,7340,16427
Os01g0283400,12,29,28,22
Os01g0283500,485,733,664,1110
Os01g0283600,53,128,156,458
Os01g0283700,109,47,169,78
Os01g0284300,3,1,2,0
Os01g0284500,7605,3004,13247,10710
Os01g0284700,3540,1302,4445,1441
Os01g0284900,90,458,182,1069
Os01g0285200,218,128,191,154
Os01g0285300,5264,2306,4275,2958
Os01g0286000,567,571,671,850
Os01g0286100,2137,2529,2173,2644
Os01g0286200,18,22,18,22
Os01g0286500,28,29,44,50
Os01g0286550,0,0,0,0
Os01g0286600,4404,1519,5615,1416
Os01g0286900,302,230,287,477
Os01g0287400,61,63,70,85
Os01g0287600,259,65,208,183
Os01g0287700,831,1337,1178,1915
Os01g0287900,2,0,0,0
Os01g0288200,425,142,566,258
Os01g0288700,0,4,0,0
Os01g0288800,7,33,6,229
Os01g0289100,6,31,4,54
Os01g0289600,539,419,555,555
Os01g0289732,3,0,0,1
Os01g0289750,1,6,7,7
Os01g0289900,2,4,3,5
Os01g0289950,7,7,9,7
Os01g0290000,19831,22311,17261,24416
Os01g0290100,3663,4692,5114,8079
Os01g0290600,592,817,850,1485
Os01g0290650,105,121,180,208
Os01g0290700,424,338,485,643
Os01g0290800,6854,5931,8032,9723
Os01g0290901,27,29,17,25
Os01g0291500,860,560,942,855
Os01g0291733,0,0,0,0
Os01g0292200,2905,3533,4146,5135
Os01g0292250,8,6,7,13
Os01g0292700,557,173,1021,339
Os01g0292900,9403,9754,11031,12590
Os01g0293000,3124,4071,3440,6252
Os01g0293100,0,0,2,2
Os01g0293200,826,874,919,1190
Os01g0293501,3,0,32,7
Os01g0293800,0,0,0,0
Os01g0293900,0,0,0,0
Os01g0294500,275,114,413,177
Os01g0294700,8732,3235,11765,5658
Os01g0295600,2,4,0,22
Os01g0295700,3659,7501,4646,9790
Os01g0295900,1493,828,1974,1096
Os01g0296000,338,371,325,376
Os01g0296100,3444,4110,5592,6860
Os01g0296133,0,0,1,1
Os01g0296200,4,8,17,23
Os01g0296166,0,5,4,6
Os01g0296450,314,27,588,85
Os01g0296700,137,22,177,11
Os01g0296900,0,0,0,0
Os01g0297200,849,1081,959,1307
Os01g0297700,41,19,23,22
Os01g0297950,0,0,0,0
Os01g0298301,74,53,97,68
Os01g0298400,187,245,509,354
Os01g0298500,230,147,287,257
Os01g0299100,130,61,93,53
Os01g0299150,10,4,14,3
Os01g0299200,79,76,92,49
Os01g0299300,337,368,355,525
Os01g0299400,1527,1273,1642,1402
Os01g0299500,1852,2348,2714,3699
Os01g0299700,0,0,0,0
Os01g0299801,0,0,0,0
Os01g0300000,5,8,12,13
Os01g0300200,24055,14179,25088,14570
Os01g0300400,74,74,99,115
Os01g0300600,12324,7619,12122,8956
Os01g0300900,1071,548,1021,926
Os01g0301000,1048,1183,887,1307
Os01g0301100,19,23,30,43
Os01g0301300,77,148,127,313
Os01g0301500,0,3,7,10
Os01g0301700,398,270,417,219
Os01g0301900,196,104,315,161
Os01g0302000,1019,552,1246,817
Os01g0302100,391,509,452,504
Os01g0302250,57,37,83,60
Os01g0302500,363,340,270,512
Os01g0302800,809,659,1246,1039
Os01g0302900,5,8,15,23
Os01g0303000,25444,30716,18472,34297
Os01g0303100,2,29,9,71
Os01g0303200,2725,2057,3004,2635
Os01g0303300,0,37,2,87
Os01g0303401,0,2,0,1
Os01g0303600,447,1344,852,2907
Os01g0303800,676,9245,1073,3514
Os01g0304000,9373,5812,8224,5538
Os01g0304050,20,24,17,20
Os01g0304100,2,1,1,1
Os01g0304200,0,0,0,0
Os01g0304300,1680,1078,1662,1150
Os01g0304400,87,129,196,146
Os01g0304500,4,12,19,27
Os01g0305200,2117,3934,2605,4597
Os01g0305300,124,190,169,140
Os01g0305900,981,511,1525,1427
Os01g0306100,83,58,91,36
Os01g0306200,0,2,0,4
Os01g0306400,11,146,17,299
Os01g0306650,4,2,4,8
Os01g0306800,7594,2849,8594,2403
Os01g0306900,1038,701,1162,1211
Os01g0307500,52,11,103,29
Os01g0307562,14,11,36,29
Os01g0307624,114,237,144,285
Os01g0307686,891,1584,1246,2088
Os01g0307750,0,0,0,2
Os01g0308200,3,1,2,4
Os01g0308300,0,0,0,0
Os01g0308600,245,602,499,1424
Os01g0308700,0,0,0,0
Os01g0309100,275,183,597,763
Os01g0309451,0,0,0,2
Os01g0309800,2012,630,4076,1938
Os01g0309900,2951,2979,4286,4556
Os01g0309966,0,0,1,3
Os01g0310032,6,6,23,10
Os01g0310100,1544,1819,1964,2777
Os01g0310500,2266,2383,2865,3338
Os01g0310550,29,35,103,78
Os01g0310600,56,34,163,102
Os01g0310700,2,0,15,0
Os01g0310800,2114,2167,2233,3003
Os01g0311100,223,115,427,213
Os01g0311300,129,95,237,124
Os01g0311400,75,99,119,342
Os01g0311500,2790,3382,3586,5431
Os01g0311600,115,54,118,206
Os01g0311700,3,0,5,2
Os01g0311800,340,94,426,267
Os01g0312500,670,404,1275,977
Os01g0312600,2,4,6,7
Os01g0312800,82,18,103,38
Os01g0313050,1,0,1,1
Os01g0313300,248,1270,443,443
Os01g0313600,8,103,24,517
Os01g0314000,177,447,264,853
Os01g0314100,2492,7064,4344,16731
Os01g0314300,5615,4153,5759,4850
Os01g0314600,0,0,0,0
Os01g0314800,7383,13661,13435,23922
Os01g0315600,566,632,754,612
Os01g0315700,404,442,698,643
Os01g0315800,1308,1909,1389,2803
Os01g0315850,1,1,2,2
Os01g0316001,0,0,0,0
Os01g0316100,26,57,32,119
Os01g0316500,908,1228,1437,2512
Os01g0316600,254,2353,466,4016
Os01g0316800,6515,4921,7047,5381
Os01g0316900,1826,2071,2419,3336
Os01g0317125,5,4,6,13
Os01g0317500,254,76,320,135
Os01g0317800,532,255,918,707
Os01g0318000,4,0,3,0
Os01g0318201,0,2,0,0
Os01g0318202,112,1293,134,535
Os01g0318400,0,0,0,0
Os01g0318600,523,545,549,577
Os01g0318700,25,12,14,14
Os01g0319000,87,206,106,316
Os01g0319066,0,1,0,0
Os01g0319200,56,36,56,46
Os01g0319400,2,0,0,0
Os01g0320400,0,0,0,0
Os01g0320700,0,0,0,0
Os01g0321300,12614,7919,17318,10158
Os01g0321500,0,2,0,0
Os01g0321700,3106,2441,3364,2892
Os01g0321800,948,923,1155,1449
Os01g0321900,9,16,17,18
Os01g0322300,9,18,16,15
Os01g0322700,184,197,89,74
Os01g0322800,2157,1731,2308,2135
Os01g0323000,4364,2353,4843,3074
Os01g0323100,276,311,343,483
