"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0514800",985.657688189847,-1.15513582151906,0.221692533918977,-5.21053100480703,1.88300907780281e-07,2.90387831802038e-06
"Os04g0515400",456.522162617664,0.919423020711998,0.331457434010905,2.77387961882837,0.00553921712539505,0.0239211785641555
"Os04g0516200",203.264493354629,-1.54668458539173,0.309574265540978,-4.99616653434972,5.84811633250812e-07,8.0475624544715e-06
"Os04g0516900",9.28620201304981,4.09038122804717,1.59235865043447,2.56875624529129,0.0102064221885051,0.039549330720292
"Os04g0517000",3108.65934979845,-0.990528993294928,0.192566916122469,-5.14381708571876,2.69211662293607e-07,3.99480194436791e-06
"Os04g0518400",2033.94362740636,-0.935397655900507,0.246064907196558,-3.80142648765965,0.00014386542416234,0.00107818335560497
"Os04g0519700",1188.52054632983,-0.697674566771448,0.246006048620712,-2.83600574328606,0.00456816245181757,0.0203834980100313
"Os04g0520700",1153.77748523465,0.956810514909615,0.27674000254406,3.45743479841618,0.000545344190101617,0.00341687621806572
"Os04g0521700",63.3019596482156,1.52098899577576,0.512901742921609,2.96545881694971,0.00302231807698426,0.0144800207778026
"Os04g0523000",384.716168734045,-1.2790422561362,0.287407500061629,-4.45027445651883,8.57606188079362e-06,9.04154345666523e-05
"Os04g0523100",366.233288019025,-0.773528439275503,0.26036547892188,-2.97093317623567,0.00296896374439145,0.0142730420469215
"Os04g0523812",274.876279388992,2.44400094687742,0.33835538753755,7.22317727719405,5.0786736366929e-13,2.09338538327265e-11
"Os04g0525000",2630.4835373099,-0.75547910403209,0.23703181915437,-3.18724763083422,0.00143633743564634,0.00780402215339984
"Os04g0525100",641.715163932025,-0.911860584636728,0.327786312972763,-2.78187510749571,0.00540458339802861,0.0234535211310064
"Os04g0525200",324.097551817243,-1.00404123271566,0.308815934244534,-3.25126109561631,0.00114894291209399,0.0064552514055596
"Os04g0526000",71.9357124891956,-2.04305390872964,0.488217738976199,-4.18471871385493,2.85519429530369e-05,0.00026215964120853
"Os04g0527400",4211.19709666365,1.35065881403281,0.213119797966968,6.33755674938351,2.33437241215174e-10,6.36235582944623e-09
"Os04g0527800",1591.25239079982,-0.814981786944611,0.201941017066085,-4.03574171698813,5.44300689120008e-05,0.000460071879949222
"Os04g0529300",299.229920272434,-0.798011075295164,0.27999030508503,-2.85013823979661,0.00437002310436415,0.0196305612373977
"Os04g0529500",1883.00444562266,-0.479415202433042,0.185375035235447,-2.58619075553582,0.00970432075170487,0.0380006461337102
"Os04g0530100",326.470025665347,-0.801828836870374,0.276065389802499,-2.90448881492901,0.00367853346821912,0.0170372167394022
"Os04g0530300",1825.21391042004,0.561199603680057,0.178940226250654,3.13624060636844,0.00171128744648697,0.00900659856072255
"Os04g0530400",1368.29234135255,1.33123720581498,0.217870230690002,6.11022993641173,9.94876967883844e-10,2.39829998304851e-08
"Os04g0530500",6527.74217555586,0.954386268237627,0.288997666528135,3.30240129514926,0.000958608191325163,0.00553489511247192
"Os04g0530900",411.782942456368,-0.884356657605697,0.247819115897462,-3.56855706793664,0.000358952674269353,0.00238407744304702
"Os04g0531400",2726.47549430328,0.638182558413192,0.206574149863056,3.08936311167812,0.00200586117962322,0.0103270146699568
"Os04g0531700",2177.81662971116,0.484030726003308,0.17982367950117,2.6916962623944,0.00710896565182763,0.0294114734449064
