"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0115900",1357.13605657469,0.458534695100341,0.221663998007536,2.06860247591832,0.0385834054132142,0.114417981413007
"Os05g0115950",4.25965426994857,-0.217282898758792,1.64350076074973,-0.132207361230349,0.89482027881311,NA
"Os05g0116000",7004.00221306988,0.358956105753591,0.181389555671588,1.97892378326067,0.0478245880727015,0.134321214239943
"Os05g0116100",11489.1235199527,0.30785201240097,0.19754098928956,1.55842093080598,0.119133498109077,0.264479854219018
"Os05g0116150",6.99588784844361,0.182780608822493,1.30686778221482,0.139861592205391,0.888769347927761,NA
"Os05g0116500",22.739338894063,-0.433506115033396,0.820509970258106,-0.528337413007947,0.597265168772062,0.760388591892364
"Os05g0116600",3.92271299397002,0.110121873055537,1.70421092290466,0.064617513932985,0.948478539750376,NA
"Os05g0116700",3.48123434177902,-1.92711433004538,1.95515110159094,-0.985660048718103,0.324299960412282,NA
"Os05g0117000",5.65291450059524,1.39751100217139,1.67211483614921,0.835774536508378,0.403281754051237,NA
"Os05g0117300",10.3197446766166,3.2046319644141,1.40972865064773,2.27322610130799,0.0230125581546169,0.0761289854235594
"Os05g0117500",932.28052406522,-0.0382534751432004,0.21280057771336,-0.179762083140241,0.857339351911558,0.925719937322946
"Os05g0117600",4910.28153007286,0.149837536480676,0.173860734445615,0.861825051863836,0.388783796965754,0.58642507437064
"Os05g0117798",2650.06544615596,-1.0562160083409,0.212627465332745,-4.96744861576563,6.78395258760843e-07,9.17319623028447e-06
"Os05g0117864",5559.30824537746,0.0623505679945914,0.166819974978728,0.373759605242369,0.708583175217439,0.837259748288334
"Os05g0118000",227.108447462724,-0.328450086138115,0.334622658104128,-0.981553634171146,0.326319799179474,0.524712650417419
"Os05g0118700",9.9681617465848,0.266264186931335,1.11061219191471,0.239745420471471,0.810527621141868,0.900078756969521
"Os05g0118800",715.656764669505,0.159491983084193,0.208385449194984,0.765370056788167,0.444051218010197,0.636834477091517
"Os05g0119000",3.39096192542516,1.18993533756842,1.89206777360635,0.628907354254206,0.529409711106944,NA
"Os05g0119100",770.116427165806,0.991401513834869,0.294325458312245,3.36838518665656,0.000756098811738752,0.0045068956173939
"Os05g0119200",2715.79858958942,1.610188720564,0.230468039035168,6.98660311991588,2.8162143185152e-12,1.03896525480029e-10
"Os05g0119300",37961.3233972797,0.267952423461765,0.217121815058674,1.23411101454432,0.217161539728666,0.401099516691909
"Os05g0119350",43.421351753544,0.175697204272122,0.557978302546075,0.314881785672327,0.752851411588382,0.865509429209612
"Os05g0119400",40.3177659742923,-0.0551134267462119,0.656363737202748,-0.0839678117823679,0.933082023838157,0.965843313312555
"Os05g0119600",143.732429083638,-1.24469536381346,0.34038278759343,-3.65675177823677,0.000255431510851445,0.00178321371009987
"Os05g0119700",491.49644147344,-0.631500999591904,0.235123408233456,-2.68582785668402,0.00723503538049829,0.029840610718516
"Os05g0119850",5587.00870690417,-0.698530799327828,0.189334676802822,-3.68939705670133,0.000224786161659977,0.0015930056720451
"Os05g0120100",4903.86218086428,-0.113126055369802,0.247844323889241,-0.456439968422907,0.648073630092475,0.798618069654903
"Os05g0120200",2125.40566428724,0.24099151219553,0.301157346565845,0.80021794236004,0.423584536053786,0.618922293995081
